Wavelength (nm),ABS_mean,ABS_std,HDPE_mean,HDPE_std,LDPE_mean,LDPE_std,PA6_mean,PA6_std,PA66_mean,PA66_std,PC_mean,PC_std,PET_mean,PET_std,PETG_mean,PETG_std,PLA_mean,PLA_std,PMMA_mean,PMMA_std,POM_mean,POM_std,PP_mean,PP_std,PS_mean,PS_std,PVC_mean,PVC_std,TPU_mean,TPU_std
1644.4881889763778,33761.80952380953,4416.569414408682,60068.12244897959,10975.294266210096,64941.380952380954,299.23672364876165,58650.666666666664,5302.237626875266,61909.77419354839,3192.075547954678,28172.936170212764,428.7168586164164,35773.145454545454,7854.311863656182,26215.76923076923,3285.1620649367374,56251.0,4416.886604015013,44854.36363636364,6828.963903378224,52604.0,1541.1930849183045,56825.5,5121.977575442256,33382.22222222222,12891.381460131308,59910.68041237113,5819.281020787249,45389.6,1123.9963701009003
1647.6377952755906,31819.714285714286,4355.226167030411,60217.510204081635,11156.966139303702,65092.0,598.6615229389802,59540.51851851852,5341.585846990403,62753.58064516129,3396.8384330536755,23492.574468085106,400.0196135979021,29803.581818181818,9594.482127652916,19926.576923076922,2757.19298692706,55563.454545454544,4717.714553845988,42429.27272727273,6849.517470812269,50065.5,1589.6196479032335,56324.88333333333,5593.1991802297025,32179.444444444445,13455.0319757753,59525.24742268041,5881.404390864915,42276.73333333333,1237.9649142398541
1650.7874015748032,29974.809523809523,4258.252554847079,60247.08163265306,11292.663767815278,65102.0,994.7474912904136,60275.96296296296,5467.267788640166,63339.74193548387,3573.431349672477,18921.44680851064,355.8641749325895,23889.2,11605.206354203112,14033.884615384615,2091.196958073443,54376.72727272727,5146.834421465633,39505.244755244756,7002.357229695061,47013.4375,1601.3114925253456,56032.46666666667,6139.766731363297,30958.38888888889,13700.447424319515,58992.64948453608,5971.035058593555,39421.26666666667,1324.1101901109118
1653.9370078740158,28066.904761904763,4126.186408373233,60089.93877551021,11332.499629534273,64930.0,1359.6704782864888,60846.62962962963,5637.620460390925,63649.77419354839,3740.5926019185217,14632.148936170213,299.86812553459936,18433.2,13607.03827556634,8884.961538461539,1380.8099206560794,52545.86363636364,5817.012387623788,36124.6993006993,7355.620348670515,43413.8125,1568.7658452885025,55938.433333333334,6724.17855049142,29519.13888888889,13554.900745881903,58300.81443298969,6076.396282336916,36852.46666666667,1383.156962250569
1657.0866141732283,25954.809523809523,3958.499747307445,59705.97959183674,11240.148879633143,64556.47619047619,1640.051701247994,61247.666666666664,5810.82097214932,63679.32258064516,3910.7683956389983,10771.68085106383,236.77065897713587,13814.127272727274,15347.347224792535,4767.576923076923,730.7224124678538,50000.181818181816,6831.62001043253,32381.53846153846,7946.417059322305,39287.125,1488.1356992475519,55990.066666666666,7300.478824174632,27693.166666666668,12989.174872219983,57449.536082474224,6177.854749040678,34549.8,1416.7510343505428
1660.236220472441,23544.238095238095,3755.2655083960112,59091.244897959186,11000.137988987217,63984.28571428572,1814.7696205056454,61476.81481481482,5951.393668321402,63438.06451612903,4076.545121162027,7448.553191489362,172.42041747471444,10341.89090909091,16632.876328822906,1877.8461538461538,243.4052796829083,46766.5,8213.737742620315,28414.559440559442,8763.58571408674,34715.5625,1358.5428760601374,56094.98333333333,7820.647069332279,25374.972222222223,12026.978985888607,56447.75257731959,6249.241344521827,32447.8,1427.5941159867534
1663.3858267716537,20808.85714285714,3519.583813135734,58277.38775510204,10621.648933858423,63238.42857142857,1889.9481870304974,61531.18518518518,6035.589467895054,62946.67741935484,4214.028310965548,4729.148936170212,113.00762141939042,8222.672727272728,17348.585603395655,299.65384615384613,59.259496030783836,42971.86363636364,9895.721014180617,24394.517482517484,9753.995595030594,29839.5625,1185.4457478492004,56129.45,8239.280780555628,22545.027777777777,10748.869846242003,55310.0206185567,6262.037086587852,30452.4,1418.3706520746496
1666.5354330708662,17796.52380952381,3258.6911865706306,57326.102040816324,10135.93007370194,62359.04761904762,1892.0076884015355,61398.96296296296,6054.649462168671,62233.16129032258,4297.076816573544,2639.531914893617,64.15733687628087,7538.218181818182,17468.54435179355,0.0,0.0,38832.681818181816,11750.395669881093,20506.937062937064,10841.359816018217,24845.1875,979.5294290340388,55952.05,8518.969958128739,19276.916666666668,9287.688515732956,54049.68041237113,6191.595127061472,28456.8,1392.3385699366852
1669.6850393700788,14623.666666666666,2982.1468829931955,56313.795918367345,9590.244271281128,61389.857142857145,1860.7305857982694,61058.48148148148,6015.706660071402,61328.58064516129,4310.15099484172,1173.7659574468084,30.50232831430961,8238.290909090909,17055.967484269626,836.1538461538462,335.4040837680484,34624.045454545456,13629.205704453125,16932.972027972028,11944.584522945579,19944.0,757.7181204115419,55422.433333333334,8636.048817537385,15730.694444444445,7813.028146839257,52673.21649484536,6023.408892403764,26362.4,1351.814770348857
1672.8346456692914,11455.190476190477,2700.4941279601762,55313.836734693876,9037.431593659736,60365.0,1844.5237351478593,60473.2962962963,5937.6400712667155,60262.354838709674,4256.816018578319,305.531914893617,13.124365944287193,10155.145454545454,16251.991976837995,2581.6923076923076,940.5618521039094,30641.272727272728,15388.155200383,13829.923076923076,12989.894617851756,15348.375,543.5813962738239,54418.35,8591.467288003449,12129.972222222223,6499.162456664496,51174.9793814433,5762.840114487117,24095.733333333334,1296.4328735247175
1675.984251968504,8476.952380952382,2422.895738499118,54376.163265306124,8524.907967297679,59295.09523809524,1898.825775120782,59593.92592592593,5847.641094055227,59058.45161290323,4161.187941726301,0.0,0.0,13023.672727272728,15251.681175952128,4952.7692307692305,1755.021965843082,27153.454545454544,16906.84465676354,11314.902097902097,13917.205053741847,11245.6875,370.0675138994911,52853.333333333336,8424.409347577763,8730.25,5466.311057412383,49535.0,5448.458387849146,21621.866666666665,1225.0291896749056
